IREF_DC,PSRR(Mag),MP,Ganancia(Mag),FGU,DR,CMRR(Mag),SR
2.2e-05,43752.21052,75.44,3507.51874,4555000,1.244,1122018.454,3.692
5e-05,27101.91632,65.67,42266.86143,7456000,1.341,716143.4102,1.158
1e-05,1925.307045,69.54,30443.8799,2828000,1.449,3054921.113,1.711
5e-05,6067.363296,66.37,40784.95618,7124000,1.273,105925.3725,1.44
1e-05,40086.67176,70.53,25263.8771,2257000,1.458,785235.6346,1.841
1e-05,14706.18415,72.23,21379.6209,2422000,1.422,602559.5861,1.843
1e-05,20653.80156,68.32,32173.62533,3093000,1.517,1230268.771,1.887
5e-05,2585.23484,66.52,15222.99133,6646000,1.291,49716.43737,1.477
1e-05,26576.6355,74.77,22568.35995,2551000,1.404,1364583.137,1.851
1e-05,23850.63795,72.06,25234.80772,3117000,1.44,595662.1435,1.775
1e-05,584.1172071,71.49,2157.744409,3275000,1.342,305492.1113,1.819
5e-05,8090.958992,67.64,8892.011179,6542000,1.356,131825.6739,7.623
1e-05,12691.12144,73.28,29107.17118,3443000,1.445,944060.8763,1.801
5e-05,6144.690317,65.77,44309.82145,7252000,1.358,254097.2706,0.9921
2.2e-05,7269.423992,66.6,20820.92405,5932000,1.418,451855.9444,3.84
2.2e-05,90886.62991,71.22,23686.45132,4294000,1.386,506990.7083,3.966
1e-05,35277.67866,72.76,23361.46102,2407000,1.408,3758374.043,1.746
1e-05,7726.805851,53.75,50292.12659,1932000,1.227,291742.7014,0.1378
1e-05,2236.145199,84.25,3311.311215,1330000,1.215,1757923.614,1.896
1e-05,21453.59116,68.69,41447.6584,2316000,1.412,371535.2291,0.4065
1e-05,11939.88104,74.33,28022.05622,3311000,1.434,446683.5922,1.927
1e-05,905.7326009,75.38,2167.704105,3281000,1.312,350751.874,1.841
5e-05,12808.55095,64.69,12956.86698,8899000,1.411,181970.0859,7.466
1e-05,13061.70888,82.01,10280.16298,1311000,1.299,602559.5861,1.893
1e-05,2225.871045,65.33,47097.73264,2112000,1.411,66988.46094,0.4132
1e-05,1541.700453,82.7,3315.125698,1315000,1.222,22130947.1,1.867
1e-05,6745.280277,67.9,41020.4103,2970000,1.515,638263.4862,1.739
1e-05,46238.10214,80.05,10375.28416,2715000,1.32,9332543.008,1.863
1e-05,15293.25746,69.22,16125.01027,3029000,1.466,595662.1435,1.757
5e-05,7603.262769,69.8,21902.81828,5229000,1.248,130316.6778,1.638
2.2e-05,301995.172,66.07,45551.21862,4310000,1.47,446683.5922,1.381
1e-05,6950.243176,72.42,14223.28787,3161000,1.439,5128613.84,1.856
1e-05,2870.780582,63.77,45446.45372,2919000,1.443,164058.9773,0.3808
5e-05,7612.02139,65.85,42266.86143,7455000,1.346,218776.1624,1.161
1e-05,1011579.454,59.7,48696.75252,1804000,1.214,758577.575,0.1529
1e-05,20067.8109,79.02,10435.18133,2594000,1.274,467735.1413,1.707
1e-05,5821.032178,72.77,29140.70135,1164000,1.143,113501.0816,0.1815
5e-05,44411.96614,61.7,50933.08711,7807000,1.313,446683.5922,1.021
1e-05,31988.9511,73.97,30269.13428,3453000,1.444,977237.221,1.853
1e-05,4830.58802,72.6,12050.3594,2462000,1.413,776247.1166,1.915
1e-05,26121.61354,75.93,13931.56803,3250000,1.363,2660725.06,1.784
1e-05,991.9733392,74.34,2360.478233,3362000,1.336,338844.1561,1.733
2.2e-05,295120.9227,70.74,11953.63526,6429000,1.297,1678804.018,3.58
2.2e-05,11508.00389,67.84,30060.76303,3450000,1.429,354813.3892,1.597
1e-05,409.2606597,86.2,1419.057522,1312000,1.072,69023.98038,1.761
2.2e-05,5223.96189,65.81,34514.37393,4571000,1.454,346736.8505,1.452
1e-05,2267.253077,69.62,25205.7718,2193000,1.442,1778279.41,1.856
1e-05,36307.80548,73.87,33381.05052,3454000,1.446,1303166.778,1.861
2.2e-05,3539.973411,66.22,36099.40136,3560000,1.41,188364.9089,1.496
2.2e-05,9896.918639,66.84,14825.18085,5251000,1.414,691830.9709,3.855
2.2e-05,18988.90842,71.37,12647.36347,4301000,1.365,1083926.914,3.887
2.2e-05,35196.54225,65.32,46184.89919,5648000,1.373,812830.5162,1.43
5e-05,89639.61859,68.22,17762.33268,6590000,1.341,1273503.081,7.439
1e-05,27574.01452,75.16,17338.03998,3399000,1.38,860993.7522,1.74
1e-05,20488.0205,71.94,28086.65373,2424000,1.457,676082.9754,1.953
1e-05,903.6494737,74.22,2246.466776,3422000,1.322,309029.5433,1.818
2.2e-05,171790.8387,66.78,35277.67866,3400000,1.431,301995.172,1.481
1e-05,1082.679715,74.99,3307.501121,2503000,1.39,32247.79319,1.828
1e-05,27542.28703,75.17,17338.03998,3400000,1.38,776247.1166,1.767
2.2e-05,363078.0548,64.67,40784.95618,4675000,1.44,901571.1376,1.43
1e-05,38459.1782,67.81,33535.13045,2714000,1.495,506990.7083,1.718
1e-05,63023.1346,69.19,31768.74071,3000000,1.48,758577.575,1.732
1e-05,902.6097075,74.21,2243.881924,3422000,1.321,295120.9227,1.784
1e-05,20989.39884,83.2,23713.73706,1305000,1.322,645654.229,1.845
1e-05,5438.761317,56.88,37110.77295,1914000,1.209,231739.465,0.1214
2.2e-05,10127.44749,66.42,26699.30767,5453000,1.437,555904.2573,3.51
2.2e-05,3754.049545,71.44,10268.33432,6157000,1.314,4466835.922,3.741
1e-05,45498.80602,70.49,20090.92813,2925000,1.447,346736.8505,1.798
2.2e-05,2094.112456,66.49,7387.54263,5642000,1.398,156675107.0,4.17
2.2e-05,638263.4862,66.06,34276.77865,4761000,1.453,421696.5034,1.499
5e-05,197242.2736,65.22,22105.48256,6682000,1.17,421696.5034,1.635
2.2e-05,1590.376684,68.74,6237.348355,4054000,1.387,371535.2291,3.932
1e-05,816.5823714,75.22,4390.358656,3294000,1.341,562341.3252,1.827
1e-05,23014.41817,62.17,45656.22502,2833000,1.446,467735.1413,0.332
1e-05,36099.40136,85.89,2437.810818,1309000,1.081,495450.1908,1.749
1e-05,5420.008904,84.11,5242.03601,1304000,1.263,331131.1215,1.836
2.2e-05,8375.292821,64.57,26211.99039,4433000,1.484,1083926.914,1.349
1e-05,14554.59081,72.13,26977.39432,2472000,1.462,683911.6473,1.981
1e-05,9364.832199,85.46,1401.199585,1323000,1.225,530884.4442,1.876
1e-05,16576.77337,71.58,19208.78962,3308000,1.456,5128613.84,1.943
2.2e-05,14537.84386,69.74,12473.83514,4124000,1.364,954992.586,3.887
2.2e-05,188364.9089,69.51,37196.32212,4385000,1.359,732824.5331,1.521
2.2e-05,7236.024023,64.57,24688.80105,4705000,1.454,1216186.001,1.522
1e-05,55975.76015,81.58,4875.284901,2671000,1.142,2722701.308,1.765
2.2e-05,26181.83008,69.83,18749.94508,4131000,1.367,473151.259,3.742
5e-05,151356.1248,65.88,43003.12336,7688000,1.293,524807.4602,1.348
1e-05,9109.614523,79.31,12882.49552,1283000,1.342,323593.6569,1.82
5e-05,37497.30022,61.91,42756.28862,7795000,1.313,506990.7083,1.083
1e-05,2713.313652,66.26,50757.4739,2840000,1.439,239883.2919,0.4199
1e-05,13258.67118,66.39,54827.69649,2894000,1.44,512861.384,0.4201
1e-05,6668.067692,62.36,45289.75799,2279000,1.204,278612.1169,0.1284
1e-05,2757.401452,67.38,34355.79479,2579000,1.478,1548816.619,1.679
5e-05,22361.45199,64.14,12473.83514,9552000,1.378,660693.448,7.598
1e-05,21677.04105,76.35,15721.71792,2542000,1.327,582103.2178,1.751
5e-05,4549.880602,66.91,40973.21098,5008000,1.284,91306.14353,1.271
1e-05,12246.16199,73.67,15240.52754,3183000,1.374,988553.0947,1.796
5e-05,14157.9378,68.73,8521.185114,7130000,1.289,208929.6131,7.782
1e-05,18879.91349,61.1,55718.57489,2628000,1.442,616595.0019,0.3398
2.2e-05,3917.418771,73.09,3250.872974,4458000,1.253,582103.2178,3.775
5e-05,6419.482215,66.87,43151.90768,7419000,1.308,173780.0829,1.327
5e-05,10292.00527,57.45,43102.2558,8253000,1.22,64714.26157,1.126
5e-05,2363.197399,66.43,35318.31698,5150000,1.289,34316.26398,1.245
1e-05,384.1492592,83.89,1298.673564,1327000,1.178,21777.09772,1.771
1e-05,453.9416167,74.51,1621.810097,3264000,1.301,141253.7545,1.84
2.2e-05,2296.148648,65.82,8433.347578,5171000,1.433,13645831.37,3.996
1e-05,1479.108388,69.25,35974.93352,2196000,1.451,484172.3676,1.775
1e-05,45341.92978,74.94,32583.6701,3321000,1.434,1584893.192,1.953
