IREF_DC,Ganancia Magnitud,CMRR Magnitud,PSRR Magnitud,UGF,PM,Slew_Rate,DRout
2.50E-05,9605.058184,133352.1432,9560.92695,3215000,69.64,3.58,1.545
2.00E-05,4948.801109,5636.376558,5105.05,3702000,70.08,2.52,1.467
2.00E-05,15830.69567,188364.9089,33075.01121,3713000,72.12,3.28,1.567
2.50E-05,22387.21139,416869.3835,26485.00139,4390000,72.35,3.98,1.602
1.50E-05,13001.69578,13304.54418,14554.59081,2173000,69.82,1.96,1.584
2.00E-05,19952.62315,562341.3252,19275.24913,3894000,71.29,3.30,1.564
1.50E-05,564.2869413,28216.29583,3111.716337,2508000,69.29,2.73,1.674
2.00E-05,10303.8612,9840.111058,11402.49788,3036000,70.84,2.65,1.558
1.50E-05,14910.76755,543250.3315,33113.11215,3077000,69.08,2.53,1.583
2.50E-05,6622.165037,147910.8388,5035.006088,2999000,69.01,4.10,1.568
1.00E-05,397.1915495,14206.92213,17782.7941,1677000,70.33,1.81,1.691
1.50E-05,5649.369748,894.3345319,4370.186791,3540000,67.97,2.21,1.384
1.50E-05,312.2482406,10604.73938,13947.61658,2804000,72.68,2.52,1.712
2.00E-05,9954.054174,9988.493699,11614.48614,2787000,71.03,2.71,1.567
1.50E-05,221.5644096,156.1349038,235.2339493,1645000,69.88,1.11,1.412
2.00E-05,21183.61135,179887.0915,24632.01838,3734000,72.55,3.23,1.582
1.50E-05,5482.769649,3213.660539,5017.64579,3008000,69.86,1.78,1.452
2.00E-05,18771.54418,2089296.131,19998.6187,4084000,70.02,3.30,1.554
2.00E-05,10814.33951,14893.61078,7807.284401,2655000,70.37,2.71,1.576
2.00E-05,19010.7828,851138.0382,19032.68238,4110000,70.67,3.24,1.52
1.50E-05,218.524432,65.2379041,251.7676928,1509000,68.98,1.33,1.448
2.50E-05,23334.58062,749894.2093,21652.09879,4869000,70.65,4.06,1.561
1.50E-05,110.5350469,89.12509381,117.3545682,1205000,72.13,1.31,1.349
2.50E-05,2642.408757,1244.514612,2802.205622,4216000,71.6,3.08,1.455
2.00E-05,9988.493699,63752.9081,9965.520801,3038000,69.6,2.77,1.54
1.00E-05,494.8801109,22003.9171,3217.362533,2336000,69.97,1.77,1.683
2.50E-05,597.0352866,26977.39432,3118.889584,3114000,70.78,4.24,1.667
2.50E-05,363.9150361,14621.77174,2890.679882,4160000,73.85,3.88,1.703
2.00E-05,297.1666032,19120.53325,417.8303666,2699000,70.02,3.32,1.666
2.50E-05,18620.87137,151356.1248,21752.04034,4324000,74.01,3.86,1.576
1.00E-05,296.8246743,55.20774393,234.9632821,1600000,74.14,1.12,1.323
2.00E-05,15506.00787,103514.2167,19815.27026,2419000,70.68,3.28,1.617
2.50E-05,573.4558665,27542.28703,3221.068791,3048000,69.97,4.04,1.665
1.50E-05,11789.62523,28086.65373,8090.958992,2153000,69.45,1.97,1.568
2.50E-05,14421.15352,116144.8614,16691.67807,2789000,71.09,3.99,1.609
2.00E-05,594.2921586,27957.60728,8413.951416,3692000,72.33,3.41,1.678
2.50E-05,8035.261222,142889.3959,7735.706788,3670000,69.6,3.61,1.522
1.50E-05,295.8012467,8933.054837,13152.24832,2243000,71.18,2.49,1.695
1.50E-05,220.8004733,154.8816619,234.4228815,1643000,69.82,1.08,1.416
1.50E-05,9874.156357,226464.4308,23933.15756,2185000,68.85,2.65,1.595
2.50E-05,247.7422058,183.8653954,260.0159563,2394000,69.28,2.44,1.434
2.00E-05,329.2304533,25292.97996,460.2565736,3705000,71.35,3.28,1.686
1.50E-05,110.6623784,87.39769926,116.815373,1193000,72.12,1.31,1.344
1.50E-05,542.6252513,19656.21981,15399.26526,2015000,70.65,2.65,1.677
2.00E-05,187.9316817,263.3297944,192.0878962,1956000,68.24,2.49,1.39
1.00E-05,26031.54831,133352.1432,29853.82619,2190000,71.18,1.64,1.601
1.50E-05,572.1369547,22335.72223,20677.59382,2329000,71.13,2.67,1.685
1.00E-05,20653.80156,239883.2919,33535.13045,1899000,69.11,1.80,1.625
2.50E-05,174.5822153,17.10015315,91.62204901,2518000,72.23,3.24,1.281
2.00E-05,16443.71723,160324.5391,20230.19179,2701000,70.53,3.40,1.611
1.00E-05,22105.48256,167880.4018,26884.37843,1991000,69.77,1.80,1.62
2.00E-05,19453.60082,173780.0829,23094.04459,2413000,70.44,3.23,1.628
1.00E-05,5388.898454,1708.04772,5991.009386,1720000,69.7,0.96,1.565
1.00E-05,288.4031503,9036.494737,20300.1852,2112000,71.56,1.68,1.718
1.50E-05,109.774129,89.63961859,116.815373,1195000,71.3,1.67,1.356
1.00E-05,5099.175976,2233.572223,4226.686143,2022000,70.99,1.22,1.486
1.50E-05,5642.869413,894.3345319,4360.13564,3542000,68.04,2.22,1.384
2.50E-05,247.1724145,187.068214,261.8183008,2387000,68.97,2.48,1.448
2.00E-05,16424.7966,160324.5391,20206.91432,2702000,70.61,3.41,1.611
1.50E-05,11259.00469,248313.3105,25556.41901,2511000,69.04,2.65,1.587
1.50E-05,3618.261907,819.4076232,4055.085354,2890000,70.82,1.85,1.444
2.00E-05,181.3426676,564.2869413,184.7140795,1852000,70.1,1.63,1.404
2.00E-05,19098.53259,1396368.361,19588.44674,2626000,69.33,3.42,1.607
1.50E-05,23280.91258,208929.6131,29682.46743,2501000,70.51,2.52,1.634
2.50E-05,21852.4432,416869.3835,20630.03667,4462000,72.76,3.99,1.597
1.50E-05,309.7419299,13819.74406,710.39517,2964000,69.78,2.51,1.692
2.50E-05,1592.208727,463.4469197,1671.090614,4064000,72.39,3.06,1.436
1.00E-05,494.8801109,21379.6209,11953.63526,2343000,69.46,1.79,1.683
1.50E-05,15048.73519,2669.930767,207.252606,3552000,68.72,2.14,1.419
2.00E-05,17721.48045,281838.2931,40831.93863,3689000,71.57,3.22,1.595
1.00E-05,288.7353779,93.64832199,277.9713268,1350000,69.87,0.75,1.396
1.50E-05,574.1164622,27164.39269,3209.962804,2519000,69.73,2.74,1.674
2.00E-05,726.1059574,32658.78322,12720.3775,3644000,73.45,3.42,1.673
1.50E-05,110.5350469,89.53647655,117.6250985,1203000,71.89,1.25,1.356
2.50E-05,80.63062014,167.8804018,79.34142568,1433000,72.89,2.45,1.341
2.50E-05,2145.359116,141.7424711,855.0667129,5002000,67.17,3.04,1.322
1.50E-05,11168.63248,4576.147349,7533.555637,2554000,70.96,2.31,1.454
2.50E-05,841.3951416,39174.18771,8669.618758,4574000,73.81,4.02,1.651
1.00E-05,2165.209879,322.1068791,1735.801263,2082000,72.05,1.04,1.435
1.50E-05,512.861384,22464.66776,14893.61078,3049000,71.77,2.61,1.685
1.50E-05,21183.61135,37540.49545,1612.501027,3057000,68.96,2.48,1.545
1.00E-05,287.7398415,64.41692655,333.0427623,1339000,69.03,0.83,1.405
2.00E-05,313.689513,10653.68864,2561.533264,2954000,71.14,3.28,1.693
2.00E-05,297.1666032,9440.608763,2437.810818,2575000,70.4,3.27,1.677
2.00E-05,24406.19068,841395.1416,26001.59563,3862000,70.53,3.31,1.594
2.50E-05,16982.43652,206538.0156,21777.09772,2769000,70.51,4.00,1.62
1.00E-05,24688.80105,179887.0915,35359.00211,2170000,70.56,1.71,1.621
2.50E-05,19656.21981,602559.5861,18281.00216,3540000,69.54,4.18,1.599
1.00E-05,142.724983,31.08135903,104.7128548,1156000,77.03,1.47,1.266
1.00E-05,6501.296903,1206.424088,5333.348955,2653000,68.78,1.43,1.373
2.00E-05,9977.000638,29040.22654,10447.20219,3173000,69.61,2.77,1.536
2.50E-05,22464.66776,275422.8703,28119.0083,4279000,73.26,3.93,1.61
2.00E-05,338.8441561,12373.7119,7753.539434,3487000,73.17,3.25,1.709
2.50E-05,17599.48664,1318256.739,16710.90614,3715000,69.74,4.16,1.601
